,,,Inside 10,Inside 10,Inside 10,Inside 5,Inside 5,Inside 5
2024,Joshua Dobbs,SFO,3,2,5.40%,1,1,4.20%
2024,Mecole Hardman,KAN,0,0,0.00%,0,0,0.00%
2024,Tyler Huntley,MIA,1,1,2.60%,1,1,5.60%
2024,Jermar Jefferson,DET,3,0,4.60%,1,0,2.90%
2024,Kyle Juszczyk,SFO,3,1,5.40%,2,0,8.30%
2024,Hunter Luepke,DAL,2,0,7.70%,1,0,8.30%
2024,Kenny McIntosh,SEA,0,0,0.00%,0,0,0.00%
2024,Davis Mills,HOU,1,0,2.60%,0,0,0.00%
2024,Kendre Miller,NOR,1,1,3.20%,0,0,0.00%
2024,Joe Milton,NWE,2,1,6.90%,2,1,11.80%
2024,Jayden Reed,GNB,1,0,1.70%,0,0,0.00%
2024,Ronnie Rivers,LAR,1,0,2.40%,0,0,0.00%
2024,Rashid Shaheed,NOR,0,0,0.00%,0,0,0.00%
2024,Sterling Shepard,TAM,0,0,0.00%,0,0,0.00%
2024,Will Shipley,PHI,0,0,0.00%,0,0,0.00%
2024,Kyle Trask,TAM,0,0,0.00%,0,0,0.00%
2024,Tre Tucker,LVR,1,1,2.90%,1,1,5.00%
2024,DJ Turner,LVR,0,0,0.00%,0,0,0.00%
2024,Deuce Vaughn,DAL,1,0,3.80%,0,0,0.00%
2024,Jameis Winston,CLE,3,1,9.40%,1,1,7.10%
2024,Mike Boone,CAR,1,0,2.40%,0,0,0.00%
2024,Jonathon Brooks,CAR,2,0,4.90%,1,0,4.50%
2024,Malachi Corley,NYJ,0,0,0.00%,0,0,0.00%
2024,Isaiah Davis,NYJ,0,0,0.00%,0,0,0.00%
2024,Greg Dortch,ARI,1,0,3.40%,0,0,0.00%
2024,Joe Flacco,IND,0,0,0.00%,0,0,0.00%
2024,Zay Flowers,BAL,0,0,0.00%,0,0,0.00%
2024,Alec Ingold,MIA,1,1,2.60%,1,1,5.60%
2024,Mac Jones,JAX,2,1,5.00%,2,1,9.10%
2024,Trey Lance,DAL,1,0,3.80%,1,0,8.30%
2024,Drew Lock,NYG,2,2,6.10%,0,0,0.00%
2024,Marcus Mariota,WAS,2,1,2.90%,0,0,0.00%
2024,Gardner Minshew,LVR,1,0,2.90%,0,0,0.00%
2024,Adonai Mitchell,IND,0,0,0.00%,0,0,0.00%
2024,Jalen Nailor,MIN,1,0,2.80%,1,0,5.90%
2024,Aidan O'Connell,LVR,1,1,2.90%,1,1,5.00%
2024,Michael Penix,ATL,2,1,3.80%,1,0,5.00%
2024,Samaje Perine,KAN,1,1,2.50%,1,1,4.00%
2024,Kenny Pickett,PHI,2,1,3.00%,2,1,5.70%
2024,Dak Prescott,DAL,2,1,7.70%,2,1,16.70%
2024,Aaron Rodgers,NYJ,0,0,0.00%,0,0,0.00%
2024,Darius Slayton,NYG,1,0,3.00%,0,0,0.00%
2024,Tua Tagovailoa,MIA,0,0,0.00%,0,0,0.00%
2024,J.J. Taylor,HOU,1,0,2.60%,0,0,0.00%
2024,Dorian Thompson-Robinson,CLE,1,0,3.10%,0,0,0.00%
2024,Carson Wentz,KAN,0,0,0.00%,0,0,0.00%
2024,Jeff Wilson,MIA,2,0,5.10%,0,0,0.00%
2024,Jordan Addison,MIN,1,1,2.80%,0,0,0.00%
2024,Mark Andrews,BAL,1,0,2.30%,0,0,0.00%
